                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75465,                0.82792,                   1.05,                0.85362,                0.58081,                0.73774,                0.46236,                   1.21,                 1.7784,                 1.5246,               0.000948,               0.000948,               0.000948
                     36,                0.67918,                0.82423,                 1.0136,                0.78188,                0.66893,                0.78391,                0.56688,                 1.0676,                 1.2594,                 1.3666,             0.00093385,             0.00093385,             0.00093385
                     37,                0.69724,                0.80007,                  1.006,                0.84068,                0.82116,                0.87019,                0.64334,                 0.9376,                  1.085,                 1.2471,              0.0009197,              0.0009197,              0.0009197
                     38,                0.70629,                0.84318,                 1.0206,                0.88242,                0.78388,                0.84732,                0.61284,                 1.0708,                 1.2137,                 1.3883,             0.00090556,             0.00090556,             0.00090556
                     39,                0.63098,                0.76843,                0.98754,                0.86571,                0.76108,                0.85471,                0.62957,                0.95046,                 1.1702,                 1.2827,             0.00089141,             0.00089141,             0.00089141
                     40,                0.67389,                0.74471,                  1.008,                0.72571,                 0.8069,                0.79965,                0.57202,                 1.0468,                 1.4555,                 1.2805,             0.00087726,             0.00087726,             0.00087726
                     41,                0.67603,                0.78553,                 1.0056,                0.78862,                 0.7977,                0.83013,                0.59888,                0.97081,                 1.2736,                 1.2516,             0.00086312,             0.00086312,             0.00086312
                     42,                0.68526,                0.76441,                 1.0176,                0.79747,                0.81348,                0.87908,                 0.6542,                0.89985,                 1.0102,                 1.2444,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.6975,                0.76391,                 1.0219,                0.83079,                0.78426,                 0.8822,                0.64589,                0.90298,                 1.0997,                 1.2618,             0.00083482,             0.00083482,             0.00083482
                     44,                0.69199,                0.76605,                 1.0143,                0.77653,                0.65515,                0.71867,                0.47129,                 1.0352,                 1.6922,                 1.3748,             0.00082067,             0.00082067,             0.00082067
                     45,                 0.6425,                0.70241,                0.98685,                0.76542,                0.67395,                0.78096,                   0.54,                 1.0027,                 1.4409,                  1.324,             0.00080653,             0.00080653,             0.00080653
                     46,                0.63318,                0.70521,                  0.992,                0.79582,                0.69639,                0.77778,                0.57906,                 0.9662,                 1.2393,                  1.267,             0.00079238,             0.00079238,             0.00079238
                     47,                0.61089,                0.68318,                0.98857,                0.80035,                0.67723,                0.74961,                0.55548,                 1.0303,                 1.2284,                 1.3063,             0.00077823,             0.00077823,             0.00077823
                     48,                0.65632,                0.71468,                0.99887,                0.76623,                0.79809,                0.77896,                0.58005,                0.97311,                 1.1611,                 1.3022,             0.00076409,             0.00076409,             0.00076409
                     49,                0.69618,                0.69959,                 1.0164,                0.81995,                0.69784,                0.77751,                0.58326,                0.98764,                 1.2297,                 1.2929,             0.00074994,             0.00074994,             0.00074994
                     50,                0.64558,                0.69936,                 1.0083,                 0.8537,                0.70715,                0.84856,                0.66592,                0.84832,                 1.0062,                 1.1988,             0.00073579,             0.00073579,             0.00073579
                     51,                0.65124,                0.66185,                 1.0036,                0.89644,                 0.8114,                0.87288,                 0.6933,                0.83291,                0.88919,                 1.1909,             0.00072164,             0.00072164,             0.00072164
                     52,                0.57886,                0.60912,                0.97515,                  0.881,                0.76111,                0.87215,                0.70865,                0.83804,                0.91664,                 1.2024,              0.0007075,              0.0007075,              0.0007075
                     53,                0.60137,                0.60966,                0.98685,                0.89135,                0.75076,                0.84069,                0.65468,                 0.8123,                0.92776,                 1.2161,             0.00069335,             0.00069335,             0.00069335
                     54,                0.59944,                0.61342,                0.96451,                0.94495,                0.78088,                 0.8948,                0.71181,                0.87667,                 0.9136,                 1.2517,              0.0006792,              0.0006792,              0.0006792
                     55,                0.61139,                0.62156,                0.96432,                0.98647,                0.75519,                0.91112,                0.72241,                0.87744,                0.83909,                 1.2242,             0.00066506,             0.00066506,             0.00066506
                     56,                0.59931,                0.61095,                0.96701,                0.88211,                0.85366,                0.90455,                0.70203,                0.84263,                0.78769,                 1.2209,             0.00065091,             0.00065091,             0.00065091
                     57,                0.58324,                0.62719,                0.96522,                0.92002,                0.86422,                0.91259,                0.71129,                0.85562,                0.84043,                 1.2141,             0.00063676,             0.00063676,             0.00063676
                     58,                0.59674,                0.61945,                 0.9837,                0.97559,                 0.8432,                 0.9217,                0.68524,                0.84018,                0.82992,                 1.2517,             0.00062262,             0.00062262,             0.00062262
