                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78867,                0.94065,                 1.0677,                0.68918,                0.70594,                0.65055,                0.46272,                 1.0902,                 1.5561,                 1.4166,              0.0011885,              0.0011885,              0.0011885
                     36,                0.72501,                0.88234,                 1.0348,                0.65364,                0.65502,                0.67438,                0.49026,                 1.0952,                 1.4059,                 1.4228,              0.0011814,              0.0011814,              0.0011814
                     37,                0.74536,                0.83304,                 1.0419,                0.60686,                0.68236,                0.67349,                0.48625,                 1.0774,                 1.3569,                 1.3447,              0.0011744,              0.0011744,              0.0011744
                     38,                0.75801,                0.84359,                 1.0474,                0.86857,                0.67388,                0.72039,                0.48235,                 1.1542,                 1.4176,                 1.4585,              0.0011673,              0.0011673,              0.0011673
                     39,                0.71478,                 0.8495,                  1.029,                0.83161,                 0.7604,                0.82188,                0.53408,                 1.0615,                 1.2783,                 1.3918,              0.0011602,              0.0011602,              0.0011602
                     40,                0.71654,                0.79265,                 1.0255,                0.75002,                0.61549,                0.68009,                0.44744,                 1.1055,                 1.6436,                 1.4023,              0.0011531,              0.0011531,              0.0011531
                     41,                0.72555,                0.81476,                 1.0185,                0.83596,                0.68308,                0.75478,                0.50908,                 1.0866,                 1.4768,                 1.3656,              0.0011461,              0.0011461,              0.0011461
                     42,                0.72738,                0.79042,                  1.044,                0.88924,                0.65824,                0.76411,                0.56185,                 1.0695,                 1.3557,                 1.3632,               0.001139,               0.001139,               0.001139
                     43,                0.74267,                0.81728,                 1.0528,                0.86554,                0.59608,                0.70628,                0.53836,                 1.0808,                 1.4943,                 1.4454,              0.0011319,              0.0011319,              0.0011319
                     44,                0.72817,                0.78937,                 1.0236,                0.74359,                0.72649,                0.72508,                0.55467,                 1.0171,                 1.3291,                 1.3543,              0.0011248,              0.0011248,              0.0011248
                     45,                0.68183,                0.74346,                 1.0019,                0.68566,                0.66325,                0.71034,                0.51832,                 1.0428,                 1.7237,                 1.3403,              0.0011178,              0.0011178,              0.0011178
                     46,                 0.6839,                0.77409,                 1.0061,                0.78054,                0.50537,                0.66045,                0.45308,                 1.0854,                 1.7321,                 1.4291,              0.0011107,              0.0011107,              0.0011107
                     47,                0.67005,                 0.7766,                 1.0226,                0.79381,                 0.6524,                0.75607,                0.52996,                 1.1284,                 1.3862,                 1.4368,              0.0011036,              0.0011036,              0.0011036
                     48,                0.69433,                0.77796,                 1.0204,                0.94848,                0.60352,                0.79649,                0.50377,                 1.1767,                 1.3986,                 1.5109,              0.0010965,              0.0010965,              0.0010965
